sim_number,price_vnd
369043444,450000
363366879,3000000
393179444,3000000
367611986,3000000
944570266,500000
354296799,450000
797357878,5000000
394390868,1000000
329872234,450000
708042542,1000000
901459229,3000000
963271665,500000
583777277,1000000
847473838,5000000
909836004,500000
943999266,5000000
933081975,3000000
708001975,1000000
898322531,1000000
769944078,1000000
777088852,5000000
978801568,3000000
973818586,12500000
768368777,5000000
783735666,3000000
384281888,13600000
344230968,450000
366263827,1000000
989071111,75000000
363102777,3000000
763691012,1000000
784666777,50000000
917226495,1000000
385685677,500000
852113299,1000000
985777779,299000000
888193678,3000000
919639925,500000
702677255,1000000
982180303,5000000
777259777,12000000
979291386,5000000
923100700,3000000
836914886,500000
889761080,500000
914709986,3000000
377441974,1000000
762599422,1000000
327595839,450000
983104604,1000000
926345363,500000
925442007,500000
377334988,450000
332404969,450000
918642742,3000000
865463988,450000
867016181,450000
773968986,5000000
345415989,450000
368534974,1000000
567112015,3000000
948550909,3000000
586838383,69900000
877212129,500000
888681010,3000000
364491168,1000000
866036669,3000000
762699022,1000000
828593678,11325000
858284684,1000000
777998193,500000
934325353,13125000
888910686,3000000
961268679,12000000
799164321,1000000
921379479,12000000
866456779,10000000
865123274,450000
333073799,450000
783886799,5000000
934281993,3000000
392601994,5000000
763131131,12000000
964399858,500000
967856789,888000000
825678912,5000000
344270908,450000
862915191,450000
984626764,450000
705644666,5000000
981955929,3000000
368682787,500000
967762001,5000000
966831179,12000000
865567561,450000
826101983,15000000
819697777,55000000
909860339,5000000
332521539,450000
523302004,500000
853882889,3000000
799191765,1000000
762612112,1000000
865535387,450000
931365178,3000000
368983466,450000
931320631,500000
975126633,1000000
865930110,450000
833363979,10000000
763153432,1000000
926699681,500000
937848838,5000000
899625879,500000
866388118,450000
974192440,450000
849489678,11325000
337913086,450000
989977796,3000000
705468876,1000000
946830159,1000000
398789386,3000000
343881566,450000
973491881,450000
334191178,450000
908338679,5000000
846661668,3000000
879263668,3000000
974871000,3000000
932157700,3000000
944361838,1000000
818868186,12000000
922683879,3000000
945575695,1000000
985463788,1000000
983199977,5000000
779309889,3000000
879283738,500000
383088227,500000
889676125,1000000
343034689,450000
353622626,3000000
971822772,450000
789999904,13500000
879765511,500000
566883968,5000000
336355996,500000
962853328,1000000
989724441,450000
934240514,1000000
865680499,450000
333651345,450000
966660243,5000000
976651545,1000000
778524321,1000000
968029179,3000000
865218189,450000
373737346,5000000
325912088,450000
343443539,450000
825548678,11325000
799022533,1000000
339035886,450000
902110539,3000000
356989095,500000
816453555,1000000
909084897,500000
768008888,125000000
335777050,450000
332995839,450000
705989981,1000000
799141406,500000
844474744,3000000
367148586,500000
938100303,5000000
762547123,1000000
939134678,5000000
949005491,1000000
913330053,3000000
879286396,500000
964641913,500000
706730666,3000000
862898469,450000
818005369,3000000
925867968,12500000
968682204,5000000
941598539,500000
329436739,450000
798787878,120000000
382866586,3000000
336021002,450000
366684866,3000000
814129935,500000
865226079,450000
357926799,500000
832907907,5000000
858637678,11325000
379192879,450000
773327333,1000000
334150780,450000
777777524,10600000
325818424,500000
776009922,3000000
328992090,1000000
888151747,1000000
855025555,66000000
329650022,1000000
702666433,1000000
963692861,500000
948687569,1000000
378938889,5000000
886853599,500000
947820064,1000000
343710168,450000
869669858,5000000
762503003,1000000
967388804,500000
334011388,450000
763986666,50000000
343761339,450000
707867999,13000000
812259696,1000000
969151996,10000000
931325066,1000000
332040739,450000
568569579,3000000
332160170,450000
782799110,1000000
396837395,500000
877996228,500000
369010110,3000000
909386336,12000000
764266234,1000000
708141941,1000000
865559889,10000000
926929679,3000000
865870487,450000
762635012,1000000
357453663,450000
776666012,3000000
929999980,13000000
865982808,450000
889807764,1000000
962122003,10000000
932342566,500000
375983889,450000
987021694,500000
911392006,5000000
866809868,5000000
942291334,1000000
326031881,450000
358015139,450000
708149749,1000000
904612018,3000000
922670888,14000000
705499210,1000000
353355878,1000000
977058535,500000
877120385,500000
996931997,1000000
972996430,450000
988653809,500000
708770777,13500000
936255535,3000000
708044833,1000000
776271571,1000000
913951102,5000000
888883994,5000000
869867222,3000000
853101818,3000000
936589839,3000000
376642051,500000
927128808,500000
774888999,170000000
815249888,3000000
329546679,450000
867000824,450000
834567327,1000000
819938899,5000000
941513716,1000000
925856949,500000
865488439,450000
795736734,1000000
862666693,5000000
961542659,250000
865950350,450000
792567777,58000000
375856899,450000
945649895,1000000
899786788,3000000
343767566,450000
879929039,500000
762692698,1000000
869939232,1000000
355805580,5000000
889555891,3000000
962515855,3000000
763676276,1000000
943591385,500000
799122331,1000000
901858468,3000000
865277979,13000000
776255600,1000000
949690979,3000000
929999895,3000000
373262016,450000
877150206,500000
878657979,3000000
329266675,450000
814437492,500000
702717712,1000000
765924567,5000000
898081708,500000
974331130,500000
946685419,1000000
799338979,5000000
788888187,13600000
823282828,105000000
912744868,5000000
763653345,1000000
799083654,1000000
948258426,1000000
705987575,1000000
762754343,1000000
343060983,450000
983464560,450000
923823403,1000000
942542082,1000000
369060287,450000
336230293,450000
886090991,3000000
344040966,450000
814527676,1000000
931485456,3000000
763757756,1000000
798942968,500000
972286538,500000
919919691,5000000
334100805,450000
947710930,1000000
708199455,1000000
332071139,450000
965839352,500000
986866969,96000000
349047586,450000
776222629,1000000
818636336,5000000
329756839,450000
899029333,3000000
901616866,10000000
981963100,500000
343207368,450000
886789264,1000000
888568202,500000
763511566,1000000
353095399,450000
703012567,5000000
901266366,50000000
353629999,83000000
918354789,5000000
877157166,500000
566622622,13500000
345393879,3000000
356987888,12000000
932365543,1000000
927911984,3000000
763069944,1000000
988857785,5000000
967333366,50000000
889616886,12000000
586212004,500000
964090771,1000000
979073599,3000000
773818188,5000000
964582022,3000000
385734286,450000
966290929,3000000
832133234,500000
855020292,5000000
825071678,11325000
945820990,1000000
768167979,10500000
334250440,450000
703398398,14460000
335492679,450000
763578078,1000000
344092568,450000
763624622,1000000
876012888,13000000
335174639,450000
913118866,99000000
921913777,5000000
968088286,5000000
366666589,10000000
912992626,12000000
902727997,5000000
329647539,450000
708188277,1000000
795689687,1000000
327043689,450000
777005000,10000000
979581986,13000000
922742179,500000
374006789,50000000
985424561,450000
374512039,450000
925878086,500000
938037678,5000000
988585588,69000000
352501888,10000000
927510586,500000
917087939,3000000
837279579,3000000
345678201,12000000
849473886,500000
907795806,500000
334001879,450000
996575757,70000000
327210308,450000
902206266,1000000
772801666,3000000
985464518,500000
702463535,3000000
971878930,450000
965402627,500000
569220168,500000
586282004,500000
829888800,11500000
788658888,100000000
794331333,5000000
586391995,500000
389662255,3000000
934224411,5000000
762655166,1000000
795622811,1000000
379886039,450000
848841113,500000
762287878,5000000
961159318,500000
965595579,5000000
941592269,500000
877110782,500000
929292572,3000000
327385399,450000
346495468,450000
765189123,1000000
975996399,12000000
783827999,5000000
825287678,11325000
792573555,5000000
356697238,399000
902466818,500000
763506206,1000000
763506006,1000000
844116777,5000000
767666630,3000000
862866839,5000000
903145881,1000000
944914791,500000
769210555,5000000
708075123,1000000
971066116,3000000
329367439,450000
348066286,450000
866512362,450000
889555962,3000000
336358668,5000000
332917466,450000
903265289,1000000
942971486,500000
398759999,76500000
343207889,450000
988797989,168000000
898682008,5000000
868492007,3000000
879818262,500000
888969303,10300000
985345763,450000
782795432,1000000
853110789,5000000
332031234,5000000
862897894,450000
946725777,5000000
383010698,450000
993889989,12000000
933363318,3000000
784912968,500000
941012390,1000000
862979569,450000
372781172,1000000
343758139,450000
827150150,5000000
343611286,450000
971776937,450000
823121567,1000000
819888828,10000000
865006189,450000
356821771,450000
869611566,3000000
779995979,5000000
826064678,11325000
378073799,450000
337482799,450000
847080847,5000000
971016380,500000
971962018,5000000
329632486,500000
916319656,500000
984550549,450000
355555522,50000000
372591048,1000000
947964758,1000000
857178986,500000
969591279,3000000
762681967,1000000
989242233,3000000
888898100,1000000
343710268,450000
333184889,450000
705988677,1000000
762782582,1000000
797868607,3000000
326310178,450000
334478039,450000
344071274,450000
327806239,450000
763639632,1000000
924072008,12000000
886514089,1000000
366766737,1000000
345840990,450000
909108936,1000000
363147776,450000
836397879,12800000
357788996,5000000
967089194,500000
328723739,450000
988090375,3000000
382937979,10000000
879591679,500000
325999268,5000000
943471985,3000000
973277714,450000
869376334,500000
879286338,500000
795600399,1000000
888821568,3000000
799084094,1000000
814909192,3000000
773344955,1000000
877331107,500000
961767987,1000000
865380079,450000
901151448,1000000
962826868,139000000
905563617,500000
928168185,500000
948036493,1000000
918518007,1000000
877107755,500000
849982678,11325000
905154752,500000
327260182,450000
708144711,1000000
348865039,450000
866149068,450000
345797242,500000
377803778,60000000
978336061,800000000
568448888,55000000
898693838,3000000
913242678,5000000
326493444,450000
866123402,450000
974824987,450000
395929166,3000000
334637039,450000
326433966,450000
913707701,1000000
795759678,1000000
798184488,1000000
763752756,1000000
879769123,500000
839883777,3000000
949150906,1000000
784401333,500000
971331818,12500000
986422742,450000
762037879,3000000
865387486,450000
914372012,3000000
372657679,450000
866375707,450000
974333659,1000000
922954888,11500000
989084443,450000
386308777,3000000
327112030,3000000
909723094,500000
812898689,10000000
705964543,1000000
948666541,500000
835683538,500000
772949969,5000000
942237737,1000000
326539669,500000
702651975,1000000
703663888,10000000
909138118,12000000
931310000,90000000
921787611,1000000
945516881,1000000
767463999,3000000
567159168,1000000
828353739,5000000
966759123,3000000
967462008,5000000
932662010,3000000
334598768,1000000
996942004,1000000
382886697,1000000
332167699,450000
589717171,12900000
329600027,450000
842743678,11325000
335018439,450000
886491989,3000000
343011172,450000
926627879,3000000
329341977,450000
333784966,450000
826696079,1000000
397027555,3000000
326402662,450000
332455186,450000
855215521,3000000
354880969,450000
974309441,500000
867005305,450000
827366868,12000000
877150992,500000
963169692,1000000
824221368,3000000
901812016,3000000
901198889,12000000
326310498,450000
879610889,500000
889893962,1000000
854236999,13000000
394949474,12000000
383306777,10000000
567567839,5000000
888838836,5000000
961889267,500000
785987789,13600000
812354565,1000000
866181469,450000
788888573,5000000
947974651,1000000
965555373,12500000
896669398,5000000
983979817,450000
334850386,450000
814373373,5000000
327022206,450000
357669477,500000
965044368,3000000
941592469,500000
832172737,5000000
977776526,5000000
343181175,450000
327171274,450000
326714686,450000
332492839,450000
365369456,5000000
344080985,450000
926147555,5000000
708728292,13000000
945327996,500000
949520502,1000000
337875787,5000000
886674561,1000000
938136464,5000000
814212428,3000000
866892889,5000000
329417227,450000
923053999,12900000
877180709,500000
582737222,3000000
972662959,3000000
812595789,3000000
947889179,3000000
372111000,12000000
785035268,3000000
941522660,1000000
836511311,3000000
763100799,1000000
973294746,500000
909210384,3000000
869994445,5000000
367950779,500000
889247166,500000
766023399,1000000
333844386,450000
879286993,500000
335944491,450000
889712941,1000000
783923353,500000
948246468,12000000
565378388,1000000
344615456,450000
865742348,450000
798451111,13000000
799692468,3000000
839944499,3000000
817242886,500000
393363699,3000000
856686996,5000000
966098906,900000000
993939494,11700000
347999087,450000
935743663,1000000
766204444,13000000
786508555,5000000
947185457,1000000
888503589,500000
399859666,10000000
333687299,450000
944863672,1000000
867012489,450000
934187966,500000
777779339,50000000
877113307,500000
866402440,450000
965068758,500000
935558181,10000000
977938069,500000
839980980,5000000
902020262,15000000
342271990,5000000
705429992,500000
766797985,3000000
353148998,1000000
387424257,500000
847797888,12000000
909098914,5000000
853196969,12800000
877998874,500000
344052882,450000
865210876,450000
326249593,500000
823928686,3000000
981718798,1000000
865923922,450000
926340579,1000000
343281075,450000
901902907,10500000
904361039,500000
912788979,12000000
335480770,450000
862981469,450000
763615353,1000000
343627339,450000
912288345,5000000
915818787,5000000
795671571,1000000
328050495,450000
911110497,3000000
342203773,450000
842822866,5000000
914340004,3000000
938470444,3000000
862974739,450000
972283421,450000
775889999,179000000
866236079,450000
909609163,1000000
888133579,15000000
962896399,5000000
796272728,3000000
909265075,1000000
909263650,1000000
946646517,1000000
944344568,3000000
938451997,5000000
886457333,3000000
869328441,500000
823548555,1000000
703136567,1000000
332948968,450000
918911386,3000000
783988899,10000000
823920345,500000
986783210,3000000
816111984,15000000
931087668,3000000
372631973,450000
708031931,1000000
941789789,460000000
794067879,3000000
856138139,10000000
981288388,66000000
333868880,5000000
772007777,50000000
329591266,450000
369319994,450000
325666590,450000
932224755,1000000
961411395,500000
566666612,14000000
826514678,11325000
585234538,500000
326456789,400000000
834772872,1000000
941671220,1000000
332578739,450000
366863966,3000000
332271739,450000
834268222,3000000
398555567,12000000
357055055,12500000
376200786,450000
949058383,3000000
917009559,3000000
985965684,450000
922178279,11050000
763070076,1000000
981534517,450000
329525386,450000
936889906,1000000
966582528,5000000
372171986,5000000
936007522,500000
886401999,10000000
763602020,1000000
869877383,1000000
767306688,3000000
865263265,450000
392000777,79000000
776002000,3000000
763022654,1000000
948859713,1000000
705940942,1000000
396636669,3000000
907870180,500000
706076700,3000000
902021994,12000000
343160472,450000
865095879,450000
788479999,78000000
941969642,1000000
765626676,3000000
849920666,3000000
349855466,450000
941608386,3000000
969123258,5000000
877151293,500000
877994579,500000
385779668,12000000
879928079,500000
936678239,3000000
337035996,500000
943889023,1000000
326758288,450000
877115879,500000
982499889,12200000
901845599,3000000
898036060,1000000
904465828,500000
967899010,3000000
814616486,500000
762079089,3000000
877330332,500000
373030517,500000
336052679,450000
901452002,3000000
913137776,10000000
356886879,3000000
945883215,1000000
938568268,12000000
898232789,5000000
362396839,10000000
376356595,5000000
969044444,139000000
328720399,450000
826071983,12000000
827764678,11325000
333488802,450000
343180966,450000
888862962,10300000
703696669,3000000
327801939,450000
372155556,3000000
941088861,1000000
377107239,450000
978440901,500000
911691332,500000
342952882,450000
869366266,5000000
568686989,3000000
889899969,10000000
395888851,5000000
348097777,60000000
963875212,500000
909999700,50000000
792959697,13300000
921111989,12000000
587262005,500000
945761997,3000000
358818982,500000
795271102,1000000
329240196,450000
862234586,5000000
593728989,1000000
705910918,1000000
375099978,1000000
925270384,1000000
898319811,1000000
763627527,1000000
901826111,3000000
877119924,500000
357376479,450000
334312439,450000
928107786,500000
942568253,1000000
931111892,3000000
334996539,450000
889893950,1000000
813251678,11325000
333334922,10000000
989567065,450000
788891986,3000000
342111000,12000000
763000422,1000000
879882679,500000
327445586,450000
789560666,5000000
343260609,450000
989258794,450000
829647678,11325000
366234679,1000000
969231236,3000000
971870397,500000
965700885,1000000
942110599,1000000
372833789,3000000
889635678,10000000
907571688,3000000
899997999,289000000
705635735,1000000
396430999,5000000
854212444,1000000
763396566,500000
901373663,3000000
366262679,5000000
766646810,1000000
854997779,5000000
825004666,3000000
869995182,500000
906649469,3000000
819186777,3000000
931248113,500000
765226969,3000000
842888186,5000000
931806244,500000
348396486,450000
942983573,1000000
865489248,450000
942770927,1000000
981979239,12000000
942631197,1000000
943821288,1000000
965063879,3000000
865425179,450000
845678946,10000000
902757939,3000000
912128408,500000
388926777,3000000
325601964,1000000
787558888,130000000
877108880,500000
335149699,450000
334650799,450000
348760110,450000
767848886,5000000
919634068,500000
866243336,450000
855121121,10000000
984120376,450000
886583958,1000000
845237678,11325000
763393839,11100000
826957234,1000000
786101214,5000000
942262229,5000000
941355154,1000000
762668665,1000000
358732732,5000000
924099333,5000000
909238840,500000
971139484,500000
366120592,450000
908779796,3000000
772212537,1000000
343856199,450000
877996614,500000
818709678,11325000
924812000,3000000
826269777,5000000
763055866,1000000
899148866,3000000
913332739,1000000
919296299,12000000
334483799,450000
962176116,1000000
969969226,10000000
879401266,500000
969661868,12000000
338144989,450000
814900755,500000
865844479,1000000
329030985,450000
708111033,1000000
567656568,3000000
906862525,10000000
329258166,450000
924092003,12000000
372090893,450000
966541291,500000
846111189,12000000
826624678,11325000
352465465,3000000
948338979,5000000
763055100,1000000
708166122,1000000
984568268,14000000
585962007,500000
902878888,399000000
358292929,89000000
932051881,3000000
901727975,3000000
359081661,450000
344492009,450000
935352351,1000000
794730730,5000000
837721970,3000000
904727366,500000
886850699,500000
329290302,450000
336230206,450000
383221294,450000
332588499,450000
939410729,500000
814599566,1000000
777388881,5000000
326022012,5000000
333895766,450000
937382766,500000
762673073,1000000
932070605,1000000
989777890,5000000
965292216,500000
567373779,3000000
783227799,10000000
336210604,450000
795684484,1000000
988222987,5000000
344052379,450000
378791678,5000000
902310839,3000000
966857778,3000000
989857874,450000
335029288,450000
932462616,500000
333133398,10000000
708760678,3000000
326102639,500000
965811790,500000
938555514,3000000
961526319,500000
583411441,500000
707779994,5000000
343470639,450000
933269567,3000000
336196339,450000
879285686,500000
906945677,5000000
912741379,3000000
329180675,450000
886326555,5000000
375677222,5000000
703070386,5000000
899864999,10000000
373669996,3000000
966300236,1000000
762566755,1000000
762574571,1000000
909654471,500000
782322345,5000000
817589777,3000000
344421661,450000
346228579,450000
966826179,3000000
705685695,1000000
763743943,1000000
345782739,500000
344379537,500000
965824091,500000
392717689,500000
852779779,80000000
963347590,500000
979072015,5000000
365189366,450000
865067369,450000
345169455,500000
935675656,15000000
989342010,5000000
814410456,500000
332449009,450000
909163897,1000000
343488568,450000
343131001,450000
327435039,450000
329161616,52000000
965120210,3000000
795683983,1000000
343877765,450000
889460113,1000000
982262633,5000000
932482003,1000000
378787850,10000000
983676675,3000000
862929593,450000
334824239,450000
961680498,500000
982067844,450000
921812286,500000
916989889,55000000
335526879,3000000
869075422,500000
915262008,3000000
385901739,450000
976812022,3000000
383592379,500000
833777775,10000000
888337838,3000000
946287760,1000000
866550118,1000000
703128666,3000000
966963813,500000
905803857,500000
329171388,450000
334011191,450000
888015559,3000000
339382566,500000
844467899,3000000
852436868,13800000
865459099,450000
848916969,3000000
868930373,500000
329972166,450000
862950350,450000
869378535,500000
356029266,450000
942050763,1000000
763020903,1000000
925970788,500000
898253939,10000000
522461994,3000000
867011191,450000
946345569,1000000
334265879,450000
921411989,3000000
865987828,450000
971668885,3000000
907362005,3000000
377566568,5000000
981526995,1000000
855262866,3000000
912251390,500000
946203820,1000000
357371139,500000
938940990,5000000
779333397,5000000
329512639,450000
888885518,10300000
838430909,1000000
822275222,5000000
889899967,3000000
857501898,500000
888188437,1000000
815811422,500000
799000304,1000000
326555348,450000
909690969,189000000
962192161,500000
981463787,1000000
367842339,450000
355795558,450000
888887178,10300000
368686585,5000000
785942968,500000
926887888,79000000
938866886,179000000
981432622,500000
365247439,450000
981765692,500000
978849236,500000
859006110,500000
702724722,1000000
343673588,450000
963484368,3000000
879882262,500000
326527966,450000
942007663,1000000
971694320,500000
799304050,12000000
929333626,3000000
827441999,5000000
817122911,500000
332913788,450000
332925939,450000
326017986,450000
817165234,1000000
707107171,10000000
877002220,500000
889802405,1000000
889886345,3000000
812183444,1000000
943581985,3000000
795734034,1000000
813935154,500000
909286999,125000000
981382013,5000000
763764564,1000000
908899931,3000000
862898900,450000
921939772,1000000
342992013,450000
945006407,1000000
343140406,450000
815305305,13000000
826898968,11000000
979383485,500000
896528179,1000000
795402222,13000000
343061295,1000000
898623432,1000000
365330777,3000000
865887899,450000
762615415,1000000
778667866,10000000
877130179,500000
906080817,3000000
842390666,5000000
334448066,450000
773323765,1000000
832870000,10000000
835212888,12000000
327260205,450000
943665201,1000000
865204539,450000
969873183,500000
823250666,5000000
335318179,450000
823616666,81500000
904976376,1000000
359395388,450000
866103603,500000
762588711,1000000
877151156,500000
972151180,3000000
392621368,10000000
347867688,450000
777954333,3000000
919071996,10000000
975444961,450000
967304311,500000
817733077,500000
948930769,1000000
336353739,11000000
877909092,1000000
369105166,500000
915969204,500000
342681998,5000000
849782333,1000000
904102026,10000000
355175838,450000
708196012,1000000
377881767,500000
866900518,500000
854851851,5000000
708014888,11000000
819324678,11325000
975829789,14000000
379953939,12000000
789363979,10000000
334766939,450000
905062648,500000
829898949,5000000
766545515,500000
852974678,11325000
342847771,450000
856197979,14000000
393989858,5000000
763755122,1000000
763751969,1000000
972468468,145000000
862919130,450000
987549555,10500000
981352003,5000000
877156286,500000
343366630,450000
916224424,3000000
868191618,5000000
767971666,3000000
763136343,1000000
879933299,500000
329272539,450000
844683456,5000000
332894699,450000
332293199,450000
795673273,1000000
865202038,450000
787331986,5000000
862917466,450000
979592003,10000000
828682004,5000000
772391993,3000000
523351978,500000
782222261,5000000
965552599,5000000
981332005,10000000
888858368,12000000
888556677,155000000
853880776,500000
333868169,5000000
981886786,5000000
858831999,10800000
929292031,3000000
919008277,3000000
383439439,11111000
785173968,3000000
938603223,3000000
935110694,1000000
969663192,900000000
899997337,3000000
934129166,500000
702755753,1000000
347891963,1000000
335096345,450000
799122744,1000000
829991980,12000000
334220394,450000
912052002,12000000
763547012,1000000
702777322,1000000
762598012,1000000
888483456,12000000
989828381,5000000
375930110,450000
888039137,500000
567365668,3000000
835111555,50000000
878515159,500000
763102003,1000000
347844114,500000
836728444,1000000
879488855,500000
779288799,5000000
928260880,1000000
788888338,68800000
905568059,500000
343828686,14000000
798668844,3000000
889561234,3000000
335283234,450000
969274668,3000000
879198285,500000
815888968,3000000
582232333,5000000
763188939,1000000
398698567,5000000
889366568,3000000
784880000,10800000
564983999,3000000
889651882,1000000
359688166,450000
702777557,1000000
817891386,10000000
582328555,3000000
705515355,3000000
399618899,12800000
334389039,450000
976166279,5000000
766689689,68000000
868685353,12000000
877991163,500000
345651222,12000000
926363926,1000000
708055059,1000000
899883386,3000000
901261678,3000000
766302555,5000000
842403678,11325000
329585039,450000
327260781,450000
777528886,5000000
327674639,450000
343904199,450000
941922066,500000
344603009,500000
798065086,500000
795731977,1000000
344245968,450000
343301971,450000
328866988,5000000
363355775,450000
866126664,450000
869979799,10000000
978709884,500000
793836339,3000000
708173873,1000000
859027678,11325000
853038686,12800000
928616769,3000000
923181616,5000000
866818378,450000
866017151,450000
328050492,450000
344461486,450000
862270686,3000000
945702574,1000000
828840678,11325000
813136189,1000000
898147473,1000000
969815086,1000000
327050209,450000
866776379,3000000
888888247,150000000
938246474,5000000
584134953,5000000
343200043,450000
987869946,450000
868323376,500000
945708608,1000000
981675117,250000
964710266,500000
326130402,450000
986469157,450000
862986439,450000
815365616,5000000
398451996,5000000
813881102,3000000
843279678,11325000
329522239,450000
827794678,11325000
866377007,450000
763539229,1000000
335784866,450000
354555479,450000
838222288,53600000
932654121,500000
329406199,450000
888523568,3000000
325744462,450000
886116788,1000000
567896177,5000000
363186776,450000
334529439,450000
344472839,450000
393969669,12000000
926303668,3000000
853240444,1000000
989234656,5000000
367819222,3000000
332080381,450000
344048366,450000
983696747,1000000
866364436,450000
903998888,745000000
343007266,450000
852863939,10500000
767676318,3000000
795766266,1000000
706042019,15000000
346627699,1000000
938000444,80000000
929095679,3000000
334711101,450000
972293754,450000
703370370,12000000
932368479,15000000
373080882,450000
898208982,11429000
333952066,450000
927939839,3000000
327615186,450000
344030205,450000
344234166,450000
989711606,1000000
705224321,1000000
334125558,450000
813838989,10000000
335468888,80000000
886184184,10000000
355563596,500000
933345678,2500000000
704686777,3000000
867691986,3000000
772790790,3000000
768589999,140000000
986052279,3000000
945620112,1000000
568119979,3000000
327320939,450000
977247553,500000
366379639,450000
702769012,1000000
367965557,450000
946663486,1000000
329210284,450000
932331654,1000000
798840555,5000000
941429114,1000000
865454039,450000
708098498,1000000
528962007,500000
345693698,1000000
889886688,150000000
984728577,1000000
865560676,450000
587251995,500000
877992214,500000
825266262,3000000
879765500,500000
889939688,5000000
343842234,450000
866168489,450000
889035314,1000000
932341268,5000000
763588558,1000000
389215539,500000
924464999,10400000
328097166,450000
966660552,10000000
911767884,10175000
582858228,1000000
702658258,1000000
973362950,500000
839013989,500000
382606606,10000000
916379083,1000000
904240502,1000000
774033336,3000000
799525999,12000000
921600727,1000000
877993479,500000
334910879,450000
762628008,1000000
355219186,450000
931216639,1000000
904347898,1000000
869667896,5000000
888088907,3000000
705906908,1000000
355595252,5000000
762686687,1000000
832468386,5000000
877101525,500000
901277287,3000000
912351996,10000000
327180969,450000
926876543,5000000
334211149,450000
328757188,450000
853673939,5000000
985638199,3000000
865551039,450000
865094879,450000
966876040,500000
767477234,1000000
842968679,3000000
372037623,1000000
978906069,3000000
941620453,1000000
349101191,450000
981171898,5000000
915228811,12000000
877990266,500000
877177723,500000
983031270,450000
332351975,450000
865745855,500000
343777873,450000
817133899,500000
902295995,3000000
986734773,450000
329440988,450000
963846332,500000
967259379,5000000
782348888,145000000
868068886,70000000
788005577,12000000
847971678,11325000
968866824,3000000
349160273,500000
858111779,3000000
877118910,500000
926977336,500000
916666173,12000000
795644633,1000000
877007986,500000
362996789,63000000
927047888,11500000
382971368,3000000
818828886,12000000
939813158,500000
795759359,1000000
988885224,3000000
798696239,3000000
849258668,3000000
877996648,500000
866403640,450000
373386979,5000000
326540339,450000
328777605,450000
901835265,52000000
865112141,450000
848976969,3000000
948372091,1000000
376532112,450000
899892288,5000000
909095342,5000000
909136932,1000000
971745566,3000000
909621325,500000
903135545,1000000
819360666,5000000
862013688,5000000
877337743,500000
799062200,1000000
948678961,3000000
